Otros otro DI0MP0 0.569444
Ernesto_Espinoza_Lobo ernesto_espinoza_lobo NP00000 1
, , Fc 1
propietario propietario NCMS000 0.642273
de de SPS00 1
el el DA0MS0 1
After_Heaven after_heaven NP00000 1
y y CC 0.999962
quien quien PR0CS000 1
supuestamente supuestamente RG 1
fue ser VSIS3S0 0.935924
uno uno PI0MS000 0.969022
de de SPS00 0.999984
los el DA0MP0 0.976481
autores autor NCMP000 1
intelectuales intelectual AQ0CP0 0.34375
de de SPS00 1
el el DA0MS0 1
secuestro secuestro NCMS000 0.97619
masivo masivo AQ0MS0 1
. . Fp 1

Mientras mientras CS 0.889785
la el DA0FS0 0.972269
procuradur procuradur NCMS000 0.75005
� � Fz 1
a a SPS00 0.996023
capitalina capitalino AQ0FS0 1
lo lo PP3CNA00 0.271177
buscaba buscar VMII3S0 0.5
en en SPS00 1
distintas distinto AQ0FP0 1
entidades entidad NCFP000 1
de de SPS00 1
el el DA0MS0 1
pa pa NCFS000 0.740688
� � Fz 1
s segundo NCMN000 0.622331
e y CC 0.980427
incluso incluso RG 0.996383
solicit solicit NCMN000 1
� � Fz 1
apoyo apoyo NCMS000 0.983871
internacional internacional AQ0CS0 0.954545
a a SPS00 0.996023
trav trav NCFS000 0.159388
� � Fz 1
s segundo NCMN000 0.622331
de de SPS00 0.999984
la el DA0FS0 0.972269
interpool interpool NCMN000 1
, , Fc 1
la el DA0FS0 0.972269
PGR pgr NP00000 1
lo lo PP3CNA00 0.271177
detuvo detener VMIS3S0 1
en en SPS00 1
un uno DI0MS0 0.987295
operativo operativo NCMS000 0.642403
de de SPS00 0.999984
narcomenudeo narcomenudeo NCMS000 1
en en SPS00 1
Coyoac coyoac NP00000 1
� � Fz 1
n n NCFS000 1
en en SPS00 1
la el DA0FS0 0.972269
Ciudad_de_M ciudad_de_m NP00000 1
� � Fz 1
xico xico NCMS000 0.499503
. . Fp 1

Las el DA0FP0 0.970954
otras otro DI0FP0 0.734962
11 11 Z 1
familias familia NCFP000 1
involucradas involucrar VMP00PF 1
esperar esperar VMN0000 1
� � Fz 1
n n NCFS000 1
un uno DI0MS0 0.987295
peritaje peritaje NCMS000 1
externo externo AQ0MS0 0.96875
para para SPS00 0.999103
determinar determinar VMN0000 1
si si CS 0.99954
se se P00CN000 0.465639
trata tratar VMIP3S0 0.960396
de de SPS00 0.999984
su su DP3CS0 1
familiar familiar AQ0CS0 0.986111
. . Fp 1

De de SPS00 0.999984
nueva nuevo AQ0FS0 0.995283
cuenta cuenta NCFS000 0.774691
. . Fp 1

Las el DA0FP0 0.970954
madres madre NCFP000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
v v NCFS000 1
� � Fz 1
ctimas ctimas NCFP000 1
se se P00CN000 0.465639
enteraron enterar VMIS3P0 1
de de SPS00 0.999984
estos este DD0MP0 0.998084
avances avance NCMP000 0.916667
a a SPS00 0.996023
trav trav NCFS000 0.159388
� � Fz 1
s segundo NCMN000 0.622331
de de SPS00 0.999984
los el DA0MP0 0.976481
medios medio NCMP000 0.979167
de de SPS00 0.999984
comunicaci comunicaci NCMS000 0.0996342
� � Fz 1
n n NCFS000 1
. . Fp 1

